vjedr#	水桶
sjlkara	警察
yetmuto	门
d#mkyez	窗
kinj	国(くに),地方,区域,国家
cje	落下,下落
tosj	年 とし
ten	在上面,上,天
tene	上升,升起
toko	床 bed
ym	梦,梦想 夢(ゆめ)
hjr#	英雄
taj	我 第一人称
kjn	你 第二人称
hebj	蛇　へび
mu-	动词否定前缀
-e	名词、词干的动词化后缀
sotona	外面的,之外的 外(そと)
leje	趴,靠,依,倚 lay
sob	旁边,身边 側(そば) 变宾格还原词尾即sobam
kljana	清楚,清晰,清澈,透明 clear
kjona	洁净,干净,纯洁 清(きよ)い
kjmocj	心情,情绪,感受 気持(きも)ち
#jmalaoe	像,好像,类似 单词"雕像#jmalao"的动词化 like
-o	动词的名词化后缀及现在分词(动名词),变-e为-o
-a	动词的将来时,即变-e为-a
-u	动词的过去时,即变-e为-u 或名词的间接宾格
jn	的
-jz	第一人称复数动词后缀
xjzika	安静,寂静,静谧 静(しず)か
-m	名词的直接宾格 也可作-ma
-q	名词动词或形容词等词干的副词化后缀
-mek	动词不定式
s@u	这么,很 so
bu	这,这个
ja	和
hjlo	宽阔,广阔,宏大 広(ひろ)
hjle	开拓,扩展,扩张 hjlo的动词形式
fjle	感受到,感觉到 feel
ojoge	游泳 泳(およ)ぐ
-j	名词后缀,在…内,在…中.j结尾则用nj
kilo	黑 黒(くろ)
sakila	樱花🌸
-ba	动词假定式 ば 名次后缀 …场
t#	桃,桃子,桃树
yu	热水 湯(ゆ)
ymj	弓,弓形物 ゆみ
ymja	武器 弓矢(ゆみや)
tynasman	夜空
&	字母,发音ø
c	字母,发音ч
x	字母,发音щ
%	字母,发音ж
$	字母,发音ʃ
+	字母,发音ji(拼音)
=	字母,发音ь
ishana	办公室
caj	茶(чай)
cajhana	茶馆（чайхана）
jol	从 from より
-dan	名词后缀 从，动词构词后缀
-da	名词后缀 在
-le	名词后缀 用
-he	名词后缀 去向,也可直接作动词表去某地 へ
po-	动词 完成体,进行了一会
fika	深,深处 深(ふか)さ
k&p&r&k	蝴蝶
are	存在,在,有 ある
anka	眼睛
sue	爱,爱惜,爱护 动词
euje	喜欢 动词
bajhuaje	思念
hangbange	陪伴
falje	生气,发怒
menlj	美,漂亮,美丽
ajjn	花
knu$	弓箭
valj$	雨
fana	毁灭
kjongjq	因为
dekj	能,能够 able
hjtsizen	必然(ひつぜん)
konfljkto	冲突 conflict
yukyu	悠久(ゆうきゅう)
@dvajs	建议,意见 advice
metibo	灭亡 滅亡(めつぼう)
kamo	…也说不定 かもしれない略
lo+jk	逻辑 logic
kae	解,解开,解决 かい
-eo	表咏叹词缀
rum	房间,屋子,房屋 room
aremuareq	疑问词 有没有
nikimolj	温暖,温热 温(ぬく)もり
hate	终点,尽头,终结 果(は)て
todke	到达 arrive 届(とど)く
lamj	光,光明,光树
hejua	和平 平和(へいわ)
nar	…的话 なら
ga	但是 が 句中表转折,用在逗号后
kodoki	孤独(こどく)
est	是 be动词 时态变首e 特殊:etsjn(第二人称单数)
zonsq	总是 always
uang	摇晃,摇动
xippo	尾巴 尻尾(しっぽ)
demq	但是 用在句首
hejbon	平凡(へいぼん)
yosq	要是,如果
mj	我自己(不可用于其他人称反身)
yuze	使用 use
paua	力量 power
tek	科学,科技 technology
litna	小的
jrese	清除,擦除,抹消 erase
zenbi	全部(ぜんぶ)
mono	物品,事物 物(もの)
nj	of
so$o	社会 social
dake	只有 だけ 只用在修饰物后
hitgomj	人群 人混(ひとご)み
jamj	黑暗 闇(やみ)
kjken	危险 危険(きけん)
nare	成为 なる
t#xjkj	粉色,淡红色,桃色 とうしき
-xjkj	颜色后缀 …色 しき
ao	青色 あお
ixj	牛🐮 うし
hjtsi+j	羊🐑(ひつじ)
tola	虎(とら)🐯
isagj	兔(うさぎ)🐰
nezimj	鼠(ねずみ)🐭
sake	酒(さけ)
sixj	寿司 すし
ima	美味(佳肴),鲜美 旨(うま)い
long	龙🐉
kuat	圣,神圣 (由旧nisi字母象形"圣"字得音)
sej	原因 只用在jn后 表消极义 せい
zej	浪费,奢侈 贅(ぜい)
maljna	覆盆子 малина
lolipop	棒棒糖🍭 lollipop
f#	变(向消极方向) fall
kosq	才,才是 こそ 用在主体后
elaj	伟大,卓越,厉害 偉(えら)い
kaolo	香气,香味 香(かお)り
njoj	气味 匂(にお)い
a+j	(食物的)味道 味(あじ)
sprede	扩散,传播 spread
ali	某,某个 或(あ)る
hajaq	快点,早点 早(はや)く
hajana	快速的 早的 早(はや)い
cjxi	永远 一直
sahpjt	傻瓜 笨蛋 白痴
gune	滚 滚动 滚过 碾
gumj	工业 industry
mjko	巫女 みこ
podo	走的路 步行
jhj	山峰 山顶 (由旧nisi字母拟山尖状而得音)
kjla	闪亮 闪闪发光 亮晶晶 きらきら
+jkan	时间 時間(じかん)
-ja	名词地点后缀
akj	秋(あき)
naxj	无 空 無(な)し
banka	银行 bank 
xjka	鹿 しか
xjma	岛 しま 🏝
tjg@r	老虎🐯тигр
par	蒸汽 пар
fakt	事实 факт
plan	计划 план
cjerjepaha	乌龟черепаха
neko	猫 ねこ🐱
neke	捉老鼠 猫的动词化
avtobus	大巴车（автобус）auto+bus
ljsa	狐狸🦊 лиса
akula	鲨鱼акула🦈
gjnga	银河 ぎんが🌌
$ja	车 車(しゃ)
#t$ja	火车
bjen$ja	汽车🚗 bjenzjn $ja
ljet	飞（летать）
yezljeto	飞机✈️（yez-ljet-o）
nikikema	柴油机船
parkema	轮船，汽船
dauan	山口 （达坂）
+ami	清真寺（土耳其语cami）
kida	水果 果物(くだもの)
xjna	品种,类别,门类,科目 品(しな)
ame	糖 飴(あめ)
amana	甜的 甘(あま)い
angjel	天使👼 ангел
tserk@v	教堂⛪️церковь
s@bor	大教堂⛪️собор
hrjest	十字架хрест
krjexjeno	洗礼（крещение）
tenkrjexjeno	<宗>复活（ten-krjexjeno）воскресение
spas	救 спасти
spaseno	救赎（спасение）
prostj	原谅（v.） простить
proxjeno	宽恕，赦免 прощение
@kjean	大洋океан
qurban	古尔邦节
pasha	复活节Пасха
r@zhdjestvo	圣诞节Рождество
hrjstjanstvo	基督教Христианство
hayat	人生，生活
%jraf	长颈鹿жираф
zjebra	斑马
aslan	狮子🦁
zayats	兔子🐰заяц
kent	城市
kjep@st	堡垒，要塞крепость
qadam	（迈出的）步，步数
sljed	痕迹след
jslam	伊斯兰教 Islam
mjage	礼物,土特产 お土産(みやげ)
njmotsi	行李 荷物(にもつ)
yuuhj	夕阳 夕日🌇(ゆうひ)
tasogale	傍晚 黄昏(たそがれ)
doki	一
sou	二
imjtil	鳎鱼，龙利鱼（海舌头 морской язык）
tala	鳕鱼 鱈(たら)
hala	腹部,肚子 腹(はら)
yatala	胡乱,随便 矢鱈(やたら)
kala	辛辣,辣味 辛(から)い
bjl	知道
kasa	伞(かさ)☔
molokoxj	中国 唐土(もろこし)
-sjz	形容词否定后缀，没有…的
ynsjzna	无声的
za-	动词前缀，开始…
fimot	山麓 麓(ふもと)
siso	(衣服)下摆,(河川)下游,末端 裾(すそ)
jyz	脸
tenda	在…上
tenhe	向上
cjda	在…下
cjhe	向下
um	智慧 ум
ymdan%yrna	疯的（um-dan-%yr-na）сумасшедший
dard	痛苦
anar	石榴
bilan	与…一起（后置介词）
jch	里面,内部 n. 
jchda	在…里 prep. 
$ahar	镇，市镇( 土：şehir)
jchhe	朝里面
dep	以便，为了，in order to （conj.）v. + dep
jar	爱人
resim	图画
kljuch	钥匙🔑ключ
kljuchsyez	关键词（kljuch-syez）
-tsja	西方源使动词变为抽象名词后缀，-tion
ann@tatsja	评注，注释，аннотация, annotation
kagj	锁🔒 鍵(かぎ)
tanj	山谷 谷(たに)
kanj	螃蟹 蟹🦀(かに)
uakj	腋下,旁边,其次,次要方面 脇(わき)
kyepmjletna	多民族的（kyep-mjllet-na）многоэтнический
standart	标准 стандарт standard
standartna	标准的
avto-	前缀，自动的
avtonomna	自治的 автономный, autonomous
slajolcev	引用，援引… （сослаться）接smth-he
slajol	放逐，流放（sla-jol, сослать）接smb-m 
prj-	动词前缀，来临，触碰到
prjsla	寄来，派来
zasla	寄出
poslaka	包裹（po-sla-ka）посылка
podojolna	开始的，起始的（podo-jol-na）исходный
podojol	开始v.
podojolka	起点
todko	终点,到达的地方
sakehana	酒馆
aqsake	白酒
q@z@lsake	红酒🍷
yzymsake	葡萄酒
tali	木桶 樽(たる)
kan	罐头,计数罐装物的量词 缶🥫(かん)
kjki	菊花 菊(きく)
tanpopo	蒲公英 たんぽぽ
sizi	铃铛🔔 鈴(すず)
kazkema	气球🎈 风+船 風船(ふうせん)
houlen	菠菜 菠薐(ほうれん)
ajzi	信号,暗号 合図(あいず)
senlo	铁路,铁轨🛤 線路(せんろ)
yet#jna	输(проиграть) ~smb-u smth-m 输给某人某物
vi#jna	赢(выиграть) ~ smb-da smth-m 在某人那里赢
vi-	动词前缀，表事情成功（вы-）win
-made	名词后缀 到… 达到…
bjegjem#t	河马 бегемот
v@r#na	乌鸦 ворона
gjekon	壁虎геккон
djn@zavir	恐龙динозавр
rog	角
dokirog	独角兽
jozh	刺猬🦔 （带鬃毛的）马桶刷
jguana	鬣蜥игуана
jetj	雪怪йети
kr@k@dil	鳄鱼крокодил （crocodile）
m#r%	海象морж
hanarog	犀牛（鼻+rog）
@bjezjana	猴子🐵🐒обезьяна
pjngvjn	企鹅🐧пингвин penguin
mjech	剑 меч
bal@qmjech	剑鱼
%olka	蜗牛 （%ol-ka）улитка
flamjngo	火烈鸟
hamjak	仓鼠🐹 хомяк
tsipljonok	雏 цыплёнок
$mjel	熊蜂 шмель
xuka	狗鱼，乔尔泰，щука
emu	鸸鹋
jurok	燕 юрок
jaguar	美洲虎 ( ягуар) Jaguar
v#vk	狼🐺（乌克兰语）вовк
tsap	山羊цап（乌克兰语）
$akal	豺шакал
burjak	甜菜(乌克兰语буряк) 
vjlka	叉子，插头，插销вилка
motakinj	祖国
manga	漫画 まんが
ongak	音乐♬ 音楽(おんがく)
koe	(人说的)话,(人的)声音 声(こえ)
onsej	书面语 语音 音声(おんせい)
koj	鲤鱼 鯉(こい)
sljez	眼泪слез
ase	汗 あせ
oxjka	小便,尿 おしっこ
inka	大便,屎💩 うんこ
%opa	屁股,臀部 жопа
ide	胳膊,前臂 腕(うで)
sine	小腿 脛(すね)
ka+e	咬,啃,试一下,学一点 齧(かじ)る
%andoj	生日🎂
kyerdekjna	可视的，可见的 визуальный visual
dokika	单元，单位 unit, единица
hjna	雏鸟,雏鸡 (接在名词前)小(巧) 雛(ひな)
%oljxxjomono	旅伴，同行者，卫星
k@rona	王冠，冠状物，日冕 корона corona
jxxjo	一起,一块,一样,同行 一緒(いっしょ)
sigo	出色,厉害,了不起 凄(すご)い
koua	可怕,骇人 怖(こわ)い
nodo	喉咙,咽喉 喉(のど)
kaua	干燥,(口)渴 乾(かわ)く
kauaj	可爱,小巧玲珑 かわいい
jadro	核，核心 ядро
nola	野… 野良(のら)
nolaneko	野猫 野良猫(のらねこ)
k@mjeta	彗星 comet комета
hv#st	尾巴 хвост
hajaxj	树林,林立的事物 和汉字林用法全同 はやし
mon	花纹,花样,徽章 紋(もん)
mjsakj	海岬,海角 岬(みさき)
muaj	一月 睦月(むつき)
kjsalagj	二月 如月(きさらぎ)
jajoj	三月 弥生(やよい)
iaj	四月 卯月(うづき)
saaj	五月 皐月(さつき)
susjzaj	六月 水無月(みなづき)
fimjaj	七月 文月(ふみづき)
$aaj	八月 葉月(はづき)
uzuaj	九月 長月(ながづき)
kuatsjzaj	十月 神無月(かみなづき)
muzka	霜
muzkaaj	十一月 霜月(しもつき)
xjuasi	十二月 師走(しわす)
cjkasucje	降雪
b#bir	河狸 бобр
$apka	帽子 шапка 俄维土皆同
vite	救出，拯救（vi-te）выручить
berimjletna	全民族的(beri-mjlet-na) всенародный
-gaki 	学科后缀（学）
cjljgaki	地理学география
k@ntjnjent	大陆 континент continent
-dekjna 	形容词后缀, 易于..的,可..的(-able -абельный)
-alna	形容词后缀，与…相关的（-al, -альный）
-mono	名词后缀,从事…的人,工具,东西
-jzm	名词后缀,学说,政治派别,主义（-изм, ism）
-ka	名词后缀，指小表爱
-hana	场所后缀，室，馆
-$@ 	指人后缀
-arena	形容词后缀,具有（物品）的，-ливый
-lena	西方外来词的形容词后缀，用于…的-льный，-
pjerje-	前缀，表反复
-jxxjo	后缀，表共同关系
kinjka	点（kinj-ka）
en	圆（円）
gobj	戈壁
engkinjka	极点，极地，磁极（eng-kinj-ka）пoлюс, pole
soghukna	冷的
soghuknjana	北方的
soghuknjana engkinjka	北极 северный полюс North Pole
soghuknjana engkinjkana en	北极圈 северный полярный круг Artic Circ
atama	头 頭
atamakent	首都（atama-kent）
hejna	平的
hejnja	平原
$tat	（行政单位）州，邦 штат state
ekj	站，駅
yel$@	死者（yel-$@）
yelka	墓
yelkalar	公墓
ha$j	桥
kouen	公园
kjoki	记忆
kjokimono	纪念碑
kjokie	记得v. 
zakjokie	记住（za-）
kjokitenhe	(想起 -ten-he)
kjokitenmade	提醒，使想到
tomarjkyep	停车场（泊まり kyep)
lava	岩浆 lava лава
tuca	乌云  туча
raduga	彩虹🌈радуга
tuman	雾туман fog
t#ngvalj$ 	冻雨 （t#ng-valj$）гололёд
tundra	冻原，苔原，冻土带тундра
naxjja	荒漠（naxj-ja）
savanna	热带草原 саванна Savanna 萨瓦纳
sub-	前缀，副的，亚的 sub- суб-
gumjja	重工厂
grjb	蘑菇（гриб）
k#rjen	根корень
roza	玫瑰🌹
hjcjdamono	向日葵🌻 подсолнечник sunflower
ljlja	百合 lily лилия
lola	郁金香🌷тюльпан tulip
klubnjka	草莓🍓клубника
#st	麦芒 ость
kome	大米 🍚
mugj	小麦 пшеница wheat
r#%	黑麦рожь rye
sorgo	高粱 sorghum сорго
kukuruza	玉米🌽 кукуруза
tenka	顶点
jn%jr	无花果 инжир
dub	橡树 дуб
palma	棕榈树🌴palm пальма
maualj	转
jel	云杉树，枞树🎄ель
mjtsi	蜜🍯
ka	蚊子 (蚊，комар, mosquito)
hae	苍蝇 （はえ муха fly）
semj	蝉（цикада cicada せみ）
haxjeljeon	变色龙 хамелеон chameleon
osa	黄蜂 оса yellowjacket
pauk	蜘蛛🕷 паук spider
tako	章鱼🐙 たこ осьминог
ljagu$ka	青蛙🐸 лягушка
kama	镰刀 鎌(かま)
kjle	切割 切(き)る
kamakjlo	螳螂 かまきり богомол Mantid
hamjeljeon	变色龙хамелеон chameleon
u%	游蛇🐍 уж
jaxjerjtsa	蜥蜴 ящерица lizard
tamago	蛋，卵 たまご
ajst	鹳 аист stork
gus	鹅 goose гусь
jndjuk	火鸡🦃индюк
cjraka	灯泡💡
den	电 電(でん)
tak	桌,案,几 卓(たく)
dentak	计算器 電卓(でんたく)
den$ja	电车🚃 電車(でんしゃ)
nou	能量,能力 能(のう)
dennou	电能
jadroka	芯片
-kj	名词后缀 …机
jadrokakj	电脑
@sjol	驴 осёл
at@sjol	骡
an	杏 あん
denkj	电机,电器
kasimj	霞 かすみ
namj	波浪,波涛,震动,波动 波🌊(なみ)
hjki	低(ひく)い
fuke	吹,喷,冒 吹(ふ)く
kisa	草 くさ
tale	悬垂,滴,下垂 垂(た)れる
no	郊外,野外 野(の)
uake	涌出,喷出,涌现,产生 湧(わ)く
e	江 え
suslae	流淌 su-sla
s-	前缀 with 和,同
tam	因为,为了,(的)原因 …jn tam 為(ため)
u%e	已经 уже
posjenka	网 poslaka-sjenka
hatslae	通信,送信,发送,联系,通知 hat-sla
anle	理解 v.
anlukoe	理论,原理,学说 anle-u-koe
matsilj	祭典,节日 まつり
halj	针 針(はり)
halje	扎,刺,穿透
sutalo	水滴,水珠
kohj	咖啡☕ コーヒー
dorj	药💊
dorjhana	药店
yezvarj	水壶（yez-varj）
zaljet	起飞
ljethate	着陆
baraban	鼓барабан
kane	钟 鐘🔔(かね)
@sajjn	烟花🎆
taburjet	凳табурет
a	嘴，口
bus	珠 бус
brov(lar)	眉毛 брови
aha	对，是，yes, да
aha ve	况且，而且 да и 
foto	照片
fotokj	相机📷
so$o$@na	好交际的，外向的
%asajxxjono	宿舍
gustna	浓密的，浓稠的 густой
maj	油
lob	额头 лоб
guba(lar)	嘴唇（губы）
laska	爱抚
t#nkna	细的 тонкий
k@ljen@	膝盖колено
jchna	内部的
jchdan	从内部，从…内部
-mj	疑问后缀，吗
muu%emj	难道（неужели）Mu-u%e-mj
ka+o	实验,试验,尝试
kjzi	建造,建设,构筑,建立,构成 築(きず)く
kjzio	建筑物,大楼
zenbilena	通用的,普适的
let	队列,串行,序列,排列 列(れつ)
rjimj	汇聚,汇集,汇总 rj-imj
den%ol	电路,电线
rjimjden%ol	总线 bus
zenbilena let rjimjden%ol	通用串行总线 Universal Serial Bus
ZLR	USB
yuzo	使用物,设备,工具,仪器
jchmono	内容,内含物
hjlohat	通知,公告,广告
lavj	化学 Lavoisier(拉瓦锡)
hvalj	称赞，颂扬 хвалить
s#vjest	良知，天良 совесть
cajmono	茶壶
cajka	茶杯
zhil@ne	支棱，竖起，翘起
pul@ne	扑棱，上下拍打
g@l@ne	搁楞，搅拌
b#le	拨拉，扫灰、来回轻轻拍打的动作
pje	撇，扔，丢弃
sjngjl	妹妹
tambuq	因此，所以
gjgant	巨人，巨物
atacevno	数据（给出的东西）
p#st	岗位
gjem@r#j	痔疮
%ukj	洗衣机
denkyerno	电视📺
denyn	电话☎️，手机
holm	山丘，山岗
sjel#	村село
macj	街道,城镇 町(まち)
lavjst	化学家
-jncj，-ncj	序数词后缀
dokincj	第一
soujncj	第二
tana	身体
jelka	肩
jlhom	灵感
syezana	字母
syezanajxxjo	字母表
yezjyztsja	独特性 yes-juz-tsja своеобразие
mavzaljej	陵墓 мавзолей
%urnal	杂志
%urnaljstjka	新闻学
posoue	重复，复习v. po-sou-e
muyelna	不朽的
suna	水的，水上的
hrjstos	基督，救世主
jsus	耶稣Иисус
auarum	空间 space room
p#ska	位置 post-ka
do	度 名词后缀,一种度量单位
rogdo	角度
rodopka	相位 phase 信号波形周期变化的度量 rogdo-p#ska
enka	粒子
namjenka	量子
lamjenka	光子,光量子
bosonka	玻色子 不遵守泡利不相容原理
fermjonka	费米子 自旋为半奇数(1/2,3/2…)
itsi	反射,映射,反映 映(うつ)す
itsimono	函数
namjitsimono	波函数
han-	前缀 反… anti-
hanitsimono	反函数
si	醋 酢(す)
cjoko	巧克力
cjokoxjkj	巧克力色,棕色
cjokomaj	酱油
banana	香蕉🍌
mjkan	橘子,橙子,蜜柑
kyep	大量物品
mot-	名词前缀 更 もっと
motkyep	更多
kinjke	点击,单击 click
zaj	加载,增加,负载,载荷,载
ajjne	开花
hjloajjno	繁荣，昌盛
bjbj	奶奶👵
bobo	爷爷👴
otouto	弟弟 おとうと
jmouto	妹妹 いもうと
ko	子,儿子,小辈
me	女儿,姑娘,小辈(女性)
you-	名词前缀 幼小,幼年,稚嫩,年轻,有关幼儿的
youtil	幼儿语,婴儿语,小孩说的话/词/语气
talabakinj	大学
nao	大脑
baturna	勇敢的
$aka	玩笑
$a$e	惊奇
kaja	岩石
juva	窝，巢
ur	幸福 uğur
rol	作用 role
sual	问题
nan	馕
ajak	脚
emjr	命令
oul	儿子，土：oğul
is$@	工人👷
medjtsjna	医学 медицина
medqara	体检，医学检查 медосмотр
usta	工匠
sizhak	热 sıcak
genchna	年幼的 genç
sandvjch	三明治 sandviç
pasta	蛋糕🍰 pasta
pastahana	蛋糕店，烘培店 pastane
ekmek	面包🍞
hasta	病人
hastahana	医院🏥hastane
jeterlina	够 yeterli
kere	次，times
lytfen	请 lütfen
cjft	一对，一双 çift
gyemlek	衬衫👔gömlek
elbjse	裙子👗 elbise
etek	短裙 etek
uasa	谣传,流言,闲话,背后议论 噂(うわさ)
epron	围裙 エプロン(apron)
yofu	西装,西服,洋装 洋服(ようふく)
kanfu	汉服
uafu	和服👘
nino	布,布料,布匹 布(ぬの)
selafu	水手服 セーラー服
se	制作,制造 製
poso	制度,规章,规则 po-se-o
posofu	制服
jto	丝 糸(いと)
rjimjto	丝线,棉线 rjimj-jto
jtonino	丝绸,帛
mixj	虫🐛 むし
temixj	蚕 ten-mixj
sana	右 sağ
solna	左 sol
uzakna	远的 uzak
achna	饿 aç
a+jarena	香的
-+jkna	形容词后缀，稍稍…，很…
umarena	聪明的
tuzarena	咸的
a+jsjzna	无味的
-kjna	形容词后缀，表示…地点，…时间的
bukynkina	今天的
-sjna	形容词后缀，类似…的，像…的
neft	石油 neft нефть
gymy$	银 gümüş
tane	个 tane
dakjka	分钟
dekan	系主任 dekan декан
debu	胖子(贬义) 出不(でぶ)
de	外出 出(で)る
chali$kanna	勤奋的 çalışkan
memur	职员
mydyr	经理
radjo	收音机📻
rektor	大学校长 rektör ректор
kabe	墙壁 🧱かべ
-hen	名词后缀 在…旁边
imjhen	海边
tsimolo	打算,意图 つもり
itagae	质疑,提出疑问 疑(うたが)う
komalj	为难,没有办法,难以处理 困(こま)り
itagao	疑惑,疑问,困惑
ajzisla	天线 ajzi-sla
prjajzie	接收,收到 prj-ajzi-e
magjstral	干线 магистраль
admjnjstrator	行政人员，管理人员 администратор
admjnjstratsja	管理，行政管理
admjnjstratjvna 	行政的，管理的，行政管理的
%jerna	地的
irim$ik	奶疙瘩 哈：iрiмшік
pejnjr	奶酪 peynir
jste	想要 istemek
ko$e	跑 koşmak
uju	睡觉😪 uyumak
hastana	有病的
erna+jkan	总是
mutfak	厨房mutfak 
sljede	遵照 + …he (следовать)
saraj	地方 saray
kjn#	电影院 кино
kjn#jamj	阴暗处,影子
sonra	在…后（时间）后置介词 sonra
jaze	写 土耳其语yazmak
son	最后的 son
tenenjo	出生 birth
turunzhu	橘色 turuncu
meny	菜单 menü
kohjrang	咖啡色 kahverengi
sjarang	黑色，墨水的颜色 siyah
kyeprangna	多彩的 rengarenk
valj$cjhe	下雨
jama	坑 яма
jaxjk	抽屉 ящик
elemjent	元素
